"ticker","ref_date","price_open","price_high","price_low","price_close","volume","price_adjusted","ret_adjusted_prices","ret_closing_prices","cumret_adjusted_prices"
"^BVSP",2018-07-16,76587,76924,76129,76653,3134700,76653,0.000769998798215702,0.000769998798215702,0.983978330027156
"^BVSP",2018-07-17,76653,78522,76482,78130,3882900,78130,0.0190853625134898,0.0190853625134898,1.00306369254065
"^BVSP",2018-07-18,78124,78496,77164,77363,3394300,77363,-0.00986547588440123,-0.00986547588440123,0.993198216656245
"^BVSP",2018-07-19,77360,77487,75890,77487,3781100,77487,0.00160155022931375,0.00160155022931375,0.994799766885558
"^BVSP",2018-07-20,77500,79489,77500,78571,4745200,78571,0.0138924942573071,0.0138924942573071,1.00869226114287
"^BVSP",2018-07-23,78571,78639,77871,77996,2446800,77996,-0.00734513128753232,-0.00734513128753232,1.00134712985533
"^BVSP",2018-07-24,78005,79497,78005,79155,3283200,79155,0.0147504122024005,0.0147504122024005,1.01609754205773
"^BVSP",2018-07-25,79154,80437,79154,80218,3472700,80218,0.0133399730668284,0.0133399730668284,1.02943751512456
"^BVSP",2018-07-26,80242,80589,79081,79405,3596500,79405,-0.0101865900299594,-0.0101865900299594,1.0192509250946
"^BVSP",2018-07-27,79405,80251,79405,79866,3015600,79866,0.0057888917303272,0.0057888917303272,1.02503981682493
"^BVSP",2018-07-30,79866,80492,79699,80276,2631400,80276,0.00512046678349956,0.00512046678349956,1.03016028360843
"^BVSP",2018-07-31,80279,80279,79016,79220,3354500,79220,-0.0132419048826662,-0.0132419048826662,1.01691837872576
"^BVSP",2018-08-01,79213,79731,78769,79302,3227100,79302,0.00103455680995415,0.00103455680995415,1.01795293553572
"^BVSP",2018-08-02,79237,79896,78573,79637,3005500,79637,0.00421545996994929,0.00421545996994929,1.02216839550567
"^BVSP",2018-08-03,79656,81792,79656,81435,3802600,81435,0.0223263470518501,0.0223263470518501,1.04449474255752
"^BVSP",2018-08-06,81445,81765,80965,81051,2516600,81051,-0.00472656985702819,-0.00472656985702819,1.03976817270049
"^BVSP",2018-08-07,81093,81742,79923,80347,3861200,80347,-0.00872383133415136,-0.00872383133415136,1.03104434136634
"^BVSP",2018-08-08,80347,80912,78966,79152,3833800,79152,-0.0149847003489918,-0.0149847003489918,1.01605964101735
"^BVSP",2018-08-09,79171,79461,78156,78768,3717400,78768,-0.00486323146950799,-0.00486323146950799,1.01119640954784
"^BVSP",2018-08-10,78766,78766,76043,76514,0,76514,-0.0290330923910602,-0.0290330923910602,0.982163317156777
"^BVSP",2018-08-13,76513,77689,75931,77496,3958200,77496,0.0127525914992993,0.0127525914992993,0.994915908656076
"^BVSP",2018-08-14,77499,78742,77499,78602,3713000,78602,0.014170822279972,0.014170822279972,1.00908673093605
"^BVSP",2018-08-15,78614,78618,76829,77078,4386400,77078,-0.0195792482625025,-0.0195792482625025,0.989507482673546
"^BVSP",2018-08-16,77085,77704,76381,76819,3285400,76819,-0.00336589075189631,-0.00336589075189631,0.98614159192165
"^BVSP",2018-08-17,76817,76817,75633,76029,3742300,76029,-0.0103371589386897,-0.0103371589386897,0.97580443298296
"^BVSP",2018-08-20,76029,76497,75608,76328,3578100,76328,0.00392499699857749,0.00392499699857749,0.979729429981537
"^BVSP",2018-08-21,76327,76340,74915,75180,4077000,75180,-0.0151546053135129,-0.0151546053135129,0.964574824668024
"^BVSP",2018-08-22,75171,76904,74876,76902,3610400,76902,0.0226466458397099,0.0226466458397099,0.987221470507734
"^BVSP",2018-08-23,76898,77232,75466,75634,3866700,75634,-0.0166259664411953,-0.0166259664411953,0.970595504066539
"^BVSP",2018-08-24,75647,76629,75647,76262,3159900,76262,0.00826886261968606,0.00826886261968606,0.978864366686225
"^BVSP",2018-08-27,76264,78008,76264,77930,2750600,77930,0.0216362077012369,0.0216362077012369,1.00050057438746
"^BVSP",2018-08-28,77928,78038,77149,77473,2964800,77473,-0.00588149929382578,-0.00588149929382578,0.994619075093636
"^BVSP",2018-08-29,77472,78783,77399,78389,3127600,78389,0.0117541228284446,0.0117541228284446,1.00637319792208
"^BVSP",2018-08-30,78389,78389,76372,76404,3546800,76404,-0.0256485605671998,-0.0256485605671998,0.980724637354881
"^BVSP",2018-08-31,76386,77202,76026,76678,4145600,76678,0.00357978459395426,0.00357978459395426,0.984304421948835
"^BVSP",2018-09-03,76675,76675,75729,76193,1673300,76193,-0.00634524046101396,-0.00634524046101396,0.977959181487821
"^BVSP",2018-09-04,76192,76192,74605,74712,3162300,74712,-0.0196288731484122,-0.0196288731484122,0.958330308339409
"^BVSP",2018-09-05,74712,75370,74276,75092,2830400,75092,0.00507330665469908,0.00507330665469908,0.963403614994108
"^BVSP",2018-09-06,75098,76533,74986,76416,3298500,76416,0.0174780698679664,0.0174780698679664,0.980881684862075
"^BVSP",2018-09-10,76416,77293,76115,76436,3105200,76436,0.000261691049042653,0.000261691049042653,0.981143375911117
"^BVSP",2018-09-11,76437,76437,74275,74657,0,74657,-0.023549498859133,-0.023549498859133,0.957593877051984
"^BVSP",2018-09-12,74680,75680,74499,75125,3709100,75125,0.00624910233537981,0.00624910233537981,0.963842979387364
"^BVSP",2018-09-13,75126,75407,74501,74687,3062100,74687,-0.00584734531261993,-0.00584734531261993,0.957995634074744
"^BVSP",2018-09-14,74687,75705,74445,75429,3231700,75429,0.00988576891023687,0.00988576891023687,0.967881402984981
"^BVSP",2018-09-17,75428,76893,75227,76789,3397600,76789,0.0178695842756947,0.0178695842756947,0.985750987260676
"^BVSP",2018-09-18,76781,78454,76677,78314,4167000,78314,0.0196649857744949,0.0196649857744949,1.00541597303517
"^BVSP",2018-09-19,78268,79021,77624,78169,3780800,78169,-0.00185323698420978,-0.00185323698420978,1.00356273605096
"^BVSP",2018-09-20,78169,78944,77820,78116,3137600,78116,-0.000678248098432416,-0.000678248098432416,1.00288448795253
"^BVSP",2018-09-21,78116,80002,78116,79444,4666800,79444,0.0168574695160091,0.0168574695160091,1.01974195746854
"^BVSP",2018-09-24,79447,79447,77857,77984,0,77984,-0.0185486934937494,-0.0185486934937494,1.00119326397479
"^BVSP",2018-09-25,77980,78688,77005,78630,3700400,78630,0.00824962856062884,0.00824962856062884,1.00944289253542
"^BVSP",2018-09-26,78634,79461,78530,78656,3735300,78656,0.000330607940145026,0.000330607940145026,1.00977350047556
"^BVSP",2018-09-27,78676,80107,78676,80000,4475000,80000,0.0169427207303119,0.0169427207303119,1.02671622120587
"^BVSP",2018-09-28,80000,80000,78967,79342,4061400,79342,-0.00825901193969583,-0.00825901193969583,1.01845720926618
"^BVSP",2018-10-01,79350,79557,78091,78624,3134400,78624,-0.00909062639541723,-0.00909062639541723,1.00936658287076
"^BVSP",2018-10-02,78625,81778,78625,81612,5929900,81612,0.0372993136427334,0.0372993136427334,1.04666589651349
"^BVSP",2018-10-03,81624,85442,81623,83273,7618600,83273,0.0201480569980649,0.0201480569980649,1.06681395351156
"^BVSP",2018-10-04,83275,83430,81892,82953,4935600,82953,-0.00385018463182035,-0.00385018463182035,1.06296376887974
"^BVSP",2018-10-05,82972,83805,82030,82322,5394800,82322,-0.00763579568462291,-0.00763579568462291,1.05532797319512
"^BVSP",2018-10-08,82324,87333,82324,86084,9999000,86084,0.044685177072215,0.044685177072215,1.10001315026733
"^BVSP",2018-10-09,86053,86573,85433,86088,6461000,86088,4.64651627526058e-05,4.64651627526058e-05,1.10005961543008
"^BVSP",2018-10-10,86084,86085,83679,83679,0,83679,-0.0283819789396905,-0.0283819789396905,1.07167763649039
"^BVSP",2018-10-11,83700,84749,82607,82921,5188700,82921,-0.00909970264685005,-0.00909970264685005,1.06257793384354
"^BVSP",2018-10-15,82922,84278,82922,83360,4782900,83360,0.00528023069350612,0.00528023069350612,1.06785816453705
"^BVSP",2018-10-16,83420,85718,83420,85718,4811300,85718,0.0278942605502479,0.0278942605502479,1.0957524250873
"^BVSP",2018-10-17,85714,86167,84944,85764,4858600,85764,0.000536499470537467,0.000536499470537467,1.09628892455783
"^BVSP",2018-10-18,85760,85760,83846,83847,4085300,83847,-0.0226056285719915,-0.0226056285719915,1.07368329598584
"^BVSP",2018-10-19,83845,84954,83667,84220,3753500,84220,0.00443871327993115,0.00443871327993115,1.07812200926577
"^BVSP",2018-10-22,84222,85772,84222,85597,3873700,85597,0.0162178130707918,0.0162178130707918,1.09433982233657
"^BVSP",2018-10-23,85595,85595,84032,85300,4388100,85300,-0.0034757813069401,-0.0034757813069401,1.09086404102963
"^BVSP",2018-10-24,85302,85786,83035,83064,4679200,83064,-0.0265630594964806,-0.0265630594964806,1.06430098153315
"^BVSP",2018-10-25,83124,84831,83124,84084,0,84084,0.0122049041752443,0.0122049041752443,1.07650588570839
"^BVSP",2018-10-26,84084,85720,83497,85720,6471500,85720,0.0192698714289791,0.0192698714289791,1.09577575713737
"^BVSP",2018-10-29,85728,88377,82783,83797,7733900,83797,-0.0226889632808302,-0.0226889632808302,1.07308679385654
"^BVSP",2018-10-30,83802,86990,83802,86886,6556900,86886,0.0361997072499743,0.0361997072499743,1.10928650110651
"^BVSP",2018-10-31,86889,88028,86213,87424,5889800,87424,0.00617292993374966,0.00617292993374966,1.11545943104026
"^BVSP",2018-11-01,87428,89017,87094,88419,5878400,88419,0.011317034167424,0.011317034167424,1.12677646520769
"^BVSP",2018-11-05,88418,89598,88347,89598,4620800,89598,0.0132461196274924,0.0132461196274924,1.14002258483518
"^BVSP",2018-11-06,89587,89587,88066,88669,0,88669,-0.0104226627463778,-0.0104226627463778,1.1295999220888
"^BVSP",2018-11-07,88676,89565,87541,87714,4371300,87714,-0.0108288137992749,-0.0108288137992749,1.11877110828953
"^BVSP",2018-11-08,87719,88570,85620,85620,5297700,85620,-0.0241626210407338,-0.0241626210407338,1.09460848724879
"^BVSP",2018-11-09,85620,86233,84030,85641,4814400,85641,0.00024523972305727,0.00024523972305727,1.09485372697185
"^BVSP",2018-11-12,85644,86227,85009,85525,3534000,85525,-0.00135540957618886,-0.00135540957618886,1.09349831739566
"^BVSP",2018-11-13,85531,85941,84071,84914,4410700,84914,-0.00716975125864345,-0.00716975125864345,1.08632856613702
"^BVSP",2018-11-14,84898,85973,84267,85973,5591600,85973,0.0123943138663967,0.0123943138663967,1.09872288000341
"^BVSP",2018-11-16,85975,88516,85975,88515,5184200,88515,0.0291387357058201,0.0291387357058201,1.12786161570923
"^BVSP",2018-11-19,88472,88484,87047,87901,3642100,87901,-0.00696084798654545,-0.00696084798654545,1.12090076772269
"^BVSP",2018-11-21,87896,87896,86254,87269,4140600,87269,-0.00721587877254513,-0.00721587877254513,1.11368488895014
"^BVSP",2018-11-22,87269,87656,87222,87477,2244500,87477,0.00238059924956645,0.00238059924956645,1.11606548819971
"^BVSP",2018-11-23,87479,87479,85763,86230,4148700,86230,-0.0143577567034846,-0.0143577567034846,1.10170773149623
"^BVSP",2018-11-26,86237,87147,84905,85547,4557300,85547,-0.00795221245305633,-0.00795221245305633,1.09375551904317
"^BVSP",2018-11-27,85547,88018,85377,87891,4971300,87891,0.0270314778593366,0.0270314778593366,1.12078699690251
"^BVSP",2018-11-28,87891,89483,87153,89251,5295600,89251,0.015355214708258,0.015355214708258,1.13614221161076
"^BVSP",2018-11-29,89145,89910,88475,89710,4257400,89710,0.00512962049242078,0.00512962049242078,1.14127183210318
"^BVSP",2018-11-30,89709,90246,89258,89504,6736700,89504,-0.00229892855164294,-0.00229892855164294,1.13897290355154
"^BVSP",2018-12-03,89511,91242,89429,89820,5935600,89820,0.00352435064004266,0.00352435064004266,1.14249725419158
"^BVSP",2018-12-04,89820,90452,88041,88624,4879700,88624,-0.0134049663688439,-0.0134049663688439,1.12909228782274
"^BVSP",2018-12-05,88644,89111,88449,89040,2790000,89040,0.00468300567654136,0.00468300567654136,1.13377529349928
